rec,pro
79,66
41,10
7,77
8,17
22,43
15,17
12,13
49,39
18,32
72,76
13,78
3,48
32,99
21,29
59,23
9,83
59,81
2,78
53,17
36,35
30,55
62,12
60,67
2,63
52,13
11,68
6,4
24,83
45,31
86,87
68,5
21,45
55,50
27,55
74,24
23,61
14,69
95,96
64,16
20,30
93,55
34,16
33,93
58,42
8,54
74,79
49,45
92,81
40,98
17,24
2,95
63,36
50,30
88,15
5,60
10,44
6,72
94,62
13,45
44,70
27,80
49,8
10,39
69,53
75,92
77,23
68,94
54,53
70,5
41,42
22,81
89,44
56,64
70,1
11,15
89,20
29,88
57,18
43,80
70,11
44,69
69,68
6,50
87,63
21,16
57,52
66,60
48,51
84,98
71,81
34,88
64,66
33,88
21,76
81,13
12,29
25,89
43,72
46,53
70,22
43,24
6,64
93,73
47,25
16,7
29,68
11,63
59,24
32,97
2,65
45,12
14,15
79,24
31,77
36,79
21,34
91,49
42,56
40,42
51,65
58,80
2,67
1,83
97,57
19,35
63,51
82,93
98,68
34,47
26,96
51,20
2,52
51,75
80,56
50,85
71,44
97,46
99,45
87,29
93,29
5,42
13,46
73,28
18,31
93,24
39,94
22,99
41,14
40,30
49,86
29,46
48,98
17,95
89,86
7,81
42,34
70,82
74,38
30,17
4,71
53,22
10,90
41,76
16,1
67,70
1,64
81,98
66,98
5,12
9,39
56,13
60,33
58,7
87,74
15,68
13,59
50,25
11,97
24,8
42,95
21,89
33,85
30,44
23,70
80,95
50,70
19,17
20,39
98,10
11,42
6,12
8,24
60,23
73,93
44,85
79,53
70,81
12,25
8,44
83,55
74,35
25,88
80,30
72,20
55,53
64,94
79,30
88,17
22,70
37,41
69,91
3,53
6,48
17,6
82,35
61,77
16,86
81,61
11,2
30,94
62,60
66,40
60,13
24,17
4,7
90,98
94,36
55,93
48,17
25,67
48,75
46,28
33,8
60,86
68,77
86,21
44,74
99,23
28,87
13,86
2,30
51,52
67,25
47,24
80,49
99,25
4,66
1,79
81,43
51,85
96,89
21,12
34,63
79,62
20,72
48,10
86,19
28,54
2,56
9,1
25,24
66,19
38,35
78,88
5,47
94,32
89,38
17,34
66,62
21,71
30,33
44,8
19,36
28,56
47,37
42,85
13,24
11,23
54,47
54,43
89,41
95,32
77,28
93,99
40,21
20,1
92,87
94,99
18,68
72,14
31,39
60,79
12,46
12,77
38,28
28,62
11,92
52,68
65,84
92,16
11,14
71,48
11,82
24,93
24,30
2,80
39,66
25,17
80,81
24,38
21,49
25,69
71,21
1,11
91,4
35,28
3,61
46,20
99,55
57,66
8,78
18,6
55,60
45,47
20,83
47,33
31,97
52,41
48,11
31,99
20,34
68,62
69,24
26,63
9,73
51,28
90,1
41,66
40,41
81,52
14,36
20,95
54,49
77,70
20,84
71,72
64,3
82,5
11,84
83,10
65,87
30,49
17,67
22,12
65,91
77,58
53,6
86,69
2,39
35,86
98,11
69,67
89,87
51,80
73,34
99,51
90,16
56,49
95,15
74,88
7,53
17,70
81,75
88,9
8,72
64,55
95,56
42,70
94,35
60,26
51,70
39,4
59,60
26,5
19,66
11,52
63,19
19,40
20,73
85,55
12,99
52,77
81,90
4,39
11,41
96,46
39,56
15,33
29,77
55,57
8,83
38,93
47,13
75,7
37,56
79,7
46,69
74,46
21,26
97,59
58,62
52,61
86,8
49,27
57,35
97,37
14,75
28,66
54,72
16,13
10,2
79,80
21,93
46,1
49,90
29,39
49,46
77,92
48,23
16,3
66,53
99,56
9,21
39,77
1,60
68,27
22,28
18,8
4,67
72,15
2,97
88,89
6,97
43,77
26,46
39,13
61,66
4,5
34,39
76,61
78,10
83,92
92,74
79,88
57,90
56,21
55,64
9,25
16,52
22,34
75,60
35,43
42,62
96,34
31,41
57,36
81,31
34,28
61,47
29,40
35,37
76,69
43,18
47,8
40,56
95,6
34,31
89,80
90,18
52,33
29,56
88,59
35,89
18,50
17,3
94,67
37,59
25,18
44,93
10,86
40,77
25,73
85,88
14,45
94,44
31,13
25,62
7,64
40,65
84,25
95,45
74,89
52,40
61,88
41,73
39,1
81,4
11,51
53,29
81,74
36,70
46,37
14,40
59,11
32,30
56,35
86,51
50,54
80,94
52,67
98,28
48,99
5,58
3,66
31,3
19,23
62,75
63,57
19,24
97,92
27,20
76,24
82,74
53,68
8,53
18,21
26,44
87,40
23,18
24,88
18,92
98,37
24,29
86,27
67,29
51,40
26,11
81,78
4,75
2,9
50,20
72,63
99,78
94,43
53,36
23,13
70,19
13,47
37,48
5,91
18,53
8,88
51,5
44,53
79,71
80,76
42,55
37,3
61,70
68,72
9,86
85,82
94,39
90,2
63,81
12,52
57,46
89,70
52,64
90,19
45,38
22,97
36,16
33,74
76,65
52,55
46,54
34,42
26,88
42,18
49,53
79,16
68,53
26,81
44,77
41,67
79,27
59,30
51,1
63,12
12,92
47,70
83,35
62,13
15,70
79,59
26,65
91,62
84,93
68,52
52,80
37,49
55,16
5,64
79,85
28,99
17,49
81,17
69,54
43,21
19,72
34,76
58,72
14,71
89,8
86,65
82,9
80,13
86,81
62,14
63,75
88,40
50,65
34,86
80,32
17,39
94,64
93,89
76,92
13,18
29,36
56,14
87,99
91,79
40,37
28,59
28,82
74,2
54,36
3,41
78,73
45,70
44,18
44,83
32,62
35,46
51,8
50,3
25,55
48,12
67,90
3,79
90,84
12,3
87,7
83,87
19,29
23,2
6,74
86,70
58,23
34,89
23,81
62,38
65,25
58,55
42,12
51,44
84,59
93,81
95,36
34,57
47,84
92,48
29,44
87,9
86,13
37,24
21,96
7,83
21,1
55,72
86,92
77,47
82,1
49,78
17,38
99,68
46,85
61,44
6,10
60,69
85,25
13,1
64,93
21,92
30,70
6,51
41,96
86,90
58,35
41,6
69,11
87,45
84,35
44,47
38,5
76,33
12,7
93,64
91,56
20,99
7,2
90,68
7,91
37,74
73,74
91,64
12,23
89,50
74,5
49,1
45,44
2,31
70,36
88,38
86,62
58,77
17,46
66,81
38,7
65,20
61,55
52,50
11,34
16,94
25,64
34,69
98,84
47,4
57,86
17,36
2,60
86,58
23,36
31,82
11,31
59,18
83,95
5,44
41,82
78,96
22,77
12,95
1,47
73,10
94,21
59,61
2,24
98,24
24,69
68,90
92,55
40,69
53,7
51,21
28,78
65,51
12,8
7,8
99,59
64,87
10,17
34,12
23,32
33,98
99,49
50,74
45,49
48,56
62,6
84,8
56,18
83,73
23,99
58,88
63,42
44,36
91,9
96,36
75,68
22,91
12,55
82,63
95,64
55,73
7,6
63,44
77,34
62,22
84,37
64,32
61,60
89,4
89,39
19,39
2,28
88,41
78,90
50,83
24,56
40,81
37,11
35,19
45,81
96,40
36,89
45,20
50,79
79,6
57,41
29,54
58,24
41,47
20,63
73,63
33,61
51,86
93,69
78,79
19,27
45,61
93,43
77,35
71,78
88,39
18,41
37,43
93,20
44,88
37,60
96,5
23,48
24,35
74,34
91,61
36,12
27,33
47,17
10,33
94,60
57,7
2,44
45,48
35,45
74,86
87,71
70,88
7,43
11,36
49,74
41,83
98,30
93,98
77,30
7,4
35,18
67,99
80,67
87,14
37,19
89,75
69,42
4,37
61,34
89,68
93,87
81,70
25,29
95,53
47,36
3,93
23,43
78,55
53,37
43,82
60,56
20,61
16,71
6,70
95,97
62,18
81,36
55,56
94,77
30,83
13,10
16,93
33,80
21,61
69,47
92,8
60,80
33,69
41,39
12,19
26,64
11,74
93,15
82,92
8,84
83,77
74,93
62,52
10,42
60,27
41,44
50,15
7,59
20,85
47,35
57,51
15,2
20,78
98,53
79,60
35,74
27,78
18,76
2,82
40,73
21,59
4,35
90,15
64,22
61,59
69,46
34,64
99,66
88,71
85,18
96,61
43,52
34,81
32,29
22,38
55,47
7,1
24,2
74,53
73,41
89,2
7,45
41,97
29,41
63,13
1,92
61,49
11,53
51,30
84,75
8,94
78,42
33,35
12,21
89,93
29,12
47,97
41,5
39,62
58,37
22,71
25,6
76,57
35,41
54,16
34,95
44,3
45,85
56,76
91,67
5,92
88,20
5,52
37,84
55,66
87,53
8,16
35,85
38,50
60,35
12,56
14,13
79,65
81,20
58,36
66,95
47,71
60,16
33,16
66,52
83,51
96,9
85,45
10,18
1,48
93,50
36,51
75,61
55,23
95,82
25,94
53,43
21,30
67,45
28,6
94,92
16,76
38,30
8,76
96,45
28,89
5,16
93,1
31,60
67,58
49,84
8,51
96,67
53,44
16,51
97,58
1,84
97,66
50,1
3,34
21,54
46,13
51,58
44,91
97,98
86,30
68,14
30,4
10,8
60,43
60,30
65,76
85,64
68,13
50,86
93,23
64,48
96,41
10,6
48,46
93,75
36,40
9,94
75,22
80,24
19,57
84,73
96,91
37,96
11,13
9,53
84,33
46,95
50,87
29,53
98,22
40,16
35,93
95,48
72,45
95,25
17,91
56,94
10,88
53,57
86,4
66,79
31,93
9,13
84,14
37,76
52,39
18,78
67,95
16,70
53,60
85,21
38,65
84,51
88,56
37,99
40,14
53,96
62,25
18,26
17,61
18,51
8,99
3,8
75,74
24,78
90,5
15,98
40,91
35,14
96,32
