data,przew,godz
1,1,5
2,2,5
3,1,3
3,2,4
4,1,7
4,1,8
4,1,9
4,1,10
4,1,11
4,2,7
5,1,13
5,2,3
5,2,11
5,2,12
6,1,2
6,1,3
6,1,5
6,1,6
6,2,2
6,2,3
6,2,4
6,2,5
6,2,6
6,2,7
7,3,10
7,3,11
7,3,12
7,3,13
7,3,14
7,3,15
7,3,16
7,3,17
7,3,18
7,3,19
7,1,1
7,1,2
7,1,6
7,1,7
7,1,8
7,1,9
7,2,1
7,2,2
7,2,6
7,2,7
7,2,8
7,2,9
7,2,10
7,2,11
7,2,12
7,2,13
7,2,14
7,2,15
7,2,16
7,2,17
7,2,18
8,1,1
8,1,2
8,1,3
8,1,4
8,1,5
8,1,6
8,1,7
8,1,8
8,1,9
8,1,10
8,1,11
8,1,12
8,1,13
8,1,14
8,1,15
8,1,16
8,1,17
8,1,18
8,1,19
8,4,2
8,4,3
8,4,4
8,4,5
8,4,6
8,4,9
8,4,10
8,4,11
8,4,12
8,4,13
8,4,14
8,4,15
8,4,16
8,4,17
8,2,4
8,2,5
8,2,6
8,2,7
8,2,8
8,2,9
8,2,10
8,2,11
8,2,12
8,2,13
8,2,14
8,2,15
8,2,16
8,2,17
8,2,18
10,1,2
10,1,3
10,1,4
10,1,5
10,1,6
10,1,7
10,1,8
10,1,9
10,1,10
10,1,11
10,1,12
10,1,13
10,1,14
10,1,15
10,1,16
10,1,17
10,4,4
10,4,5
10,4,6
10,4,7
10,4,8
10,4,9
10,4,10
10,4,11
10,4,12
10,4,13
10,4,14
10,4,15
10,4,16
10,2,1
10,2,2
10,2,3
10,2,4
10,2,5
10,2,6
10,2,7
10,2,8
10,2,9
10,2,10
10,2,11
10,2,12
10,2,13
10,2,14
10,2,15
10,2,16
10,2,17
11,1,3
11,1,4
11,1,5
11,1,6
11,1,7
11,1,8
11,1,9
11,1,10
11,1,11
11,1,12
11,1,13
11,1,14
11,1,15
11,2,1
11,2,2
11,2,3
11,2,4
11,2,5
11,2,6
11,2,7
11,2,8
11,2,9
11,2,10
11,2,11
11,2,12
11,2,13
11,2,14
11,2,15
11,2,16
11,2,17
11,2,18
12,1,2
12,1,3
12,1,4
12,1,5
12,1,6
12,1,7
12,1,8
12,1,9
12,1,10
12,1,11
12,2,3
12,2,4
12,2,5
12,2,6
12,2,7
12,2,8
