data,godz,przew
1,5,1
2,5,2
3,3,1
3,4,2
4,7,1
4,8,1
4,9,1
4,10,1
4,11,1
4,7,2
5,13,1
5,3,2
5,11,2
5,12,2
6,2,1
6,3,1
6,5,1
6,6,1
6,2,2
6,3,2
6,4,2
6,5,2
6,6,2
6,7,2
7,10,3
7,11,3
7,12,3
7,13,3
7,14,3
7,15,3
7,16,3
7,17,3
7,18,3
7,19,3
7,1,1
7,2,1
7,6,1
7,7,1
7,8,1
7,9,1
7,1,2
7,2,2
7,6,2
7,7,2
7,8,2
7,9,2
7,10,2
7,11,2
7,12,2
7,13,2
7,14,2
7,15,2
7,16,2
7,17,2
7,18,2
8,1,1
8,2,1
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,9,1
8,10,1
8,11,1
8,12,1
8,13,1
8,14,1
8,15,1
8,16,1
8,17,1
8,18,1
8,19,1
8,2,4
8,3,4
8,4,4
8,5,4
8,6,4
8,9,4
8,10,4
8,11,4
8,12,4
8,13,4
8,14,4
8,15,4
8,16,4
8,17,4
8,4,2
8,5,2
8,6,2
8,7,2
8,8,2
8,9,2
8,10,2
8,11,2
8,12,2
8,13,2
8,14,2
8,15,2
8,16,2
8,17,2
8,18,2
10,2,1
10,3,1
10,4,1
10,5,1
10,6,1
10,7,1
10,8,1
10,9,1

