recenzent,opiekun
60,58
14,47
14,27
14,24
13,14
46,108
65,6
16,7
7,16
50,31
50,55
100,22
25,52
23,11
92,76
92,76
70,72
31,85
31,63
63,31
46,21
46,21
46,34
63,62
91,48
64,79
64,79
64,79
64,79
50,49
50,49
50,49
50,49
50,49
60,7
31,54
71,9
28,109
15,89
20,27
31,55
82,59
82,59
21,46
46,2
24,46
90,35
90,35
16,66
60,7
27,108
27,108
108,68
108,68
99,95
99,38
38,95
64,79
43,42
108,26
108,26
103,51
103,87
19,2
19,2
19,2
31,2
31,5
31,5
50,31
74,92
31,15
31,15
31,15
24,36
28,5
88,28
88,28
28,109
28,109
28,109
28,109
88,43
19,2
60,16
91,78
30,91
91,3
25,3
92,74
44,45
21,93
14,13
14,69
14,69
14,53
14,52
99,95
38,95
11,3
20,3
84,4
103,84
83,84
32,29
32,29
32,22
100,22
70,11
61,34
11,23
35,39
